index,Cinsiyet,Yaş Grubu,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi
50,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,273381.83872170997,Büyük Şehir,Ev ve Mobilya,8582.517629251506,50.51151115385932,Ediyor,obek_8,117.24320880847598
51,Erkek,18-30,Bekar,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,842848.3701437296,Büyük Şehir,Kozmetik,35190.74455643376,38.45870121708101,Etmiyor,obek_6,92.83620362863121
52,Kadın,18-30,Evli,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,243617.30128601287,Büyük Şehir,Elektronik ve Teknolojik Ürünler,9096.09177810582,52.90051073881393,Ediyor,obek_8,121.17953409622278
53,Kadın,51-60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,484453.17893009225,Kırsal,Kozmetik,41583.667606183386,33.776820661402326,Etmiyor,obek_6,55.25076536604172
54,Erkek,51-60,Bekar,Yüksek Lisans Mezunu,Emekli,460806.2027065489,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,38224.96575651099,32.83193355412805,Etmiyor,obek_6,48.17672890968871
55,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,197519.66546013448,Küçük Şehir,Kozmetik,3716.952907635811,11.060271993702607,Ediyor,obek_5,101.93704982205979
56,Kadın,>60,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,477898.9631362049,Küçük Şehir,Ev ve Mobilya,39666.44848309286,31.233180082504997,Etmiyor,obek_6,53.08669478939959
57,Erkek,41-50,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,366631.3635843817,Köy veya Kasaba,Ev ve Mobilya,27659.88383473931,19.543246633677068,Etmiyor,obek_7,101.69200930563797
58,Erkek,51-60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,484656.6888822356,Kırsal,Giyim,41606.64927013597,31.425620323056407,Etmiyor,obek_6,50.534832111396035
59,Erkek,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,724183.9378518978,Büyük Şehir,Ev ve Mobilya,34882.47342683469,36.86815222132291,Etmiyor,obek_4,77.15537818549862
60,Erkek,18-30,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,353877.0539916704,Küçük Şehir,Elektronik ve Teknolojik Ürünler,24115.59854202564,18.654781985247126,Etmiyor,obek_7,101.15310760107603
61,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,213145.66013802245,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4052.084576747628,10.363277166566915,Etmiyor,obek_5,111.48092071043192
62,Erkek,51-60,Evli,Yüksekokul Mezunu,Kendi İşinin Sahibi,503802.63934772916,Kırsal,Spor Malzemeleri,41773.62104969056,31.118183845295796,Etmiyor,obek_6,45.961803450805874
63,Kadın,31-40,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,746457.276440333,Büyük Şehir,Elektronik ve Teknolojik Ürünler,33029.90724721661,39.31073186678911,Etmiyor,obek_4,82.46641624716955
64,Erkek,51-60,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,313206.27922180074,Küçük Şehir,Giyim,7042.516009439924,13.420734707472235,Etmiyor,obek_3,19.390758405110788
65,Erkek,18-30,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,385850.1059063572,Büyük Şehir,Giyim,6930.507346033684,15.415387596591618,Etmiyor,obek_3,17.72287362103055
66,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,İşsiz veya Düzenli Bir İşi Yok,873001.5545138404,Büyük Şehir,Giyim,36916.49684484307,45.04626026573873,Etmiyor,obek_4,98.90566281057683
67,Kadın,41-50,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,171229.06555341167,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4231.712635070667,8.680043310155334,Etmiyor,obek_2,50.77612122835894
68,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,1039147.7768536912,Büyük Şehir,Spor Malzemeleri,37368.37704519055,41.499516748343865,Etmiyor,obek_4,109.89640983671335
69,Erkek,18-30,Evli,Üniversite Mezunu,Emekli,345178.47934698325,Küçük Şehir,Ev ve Mobilya,25075.59685586758,15.996144613353684,Etmiyor,obek_7,97.37628803578005
70,Kadın,51-60,Evli,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,160021.76493551672,Kırsal,Ev ve Mobilya,3914.8098104250653,14.399715730797574,Etmiyor,obek_2,46.937574682927554
71,Kadın,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,208052.59597790957,Köy veya Kasaba,Kozmetik,4344.32529187142,11.069213714787022,Etmiyor,obek_5,81.16654536170591
72,Kadın,>60,Evli,Ortaokul Mezunu,Kendi İşinin Sahibi,481675.6823847054,Köy veya Kasaba,Ev ve Mobilya,35547.519263526425,29.740728310245643,Etmiyor,obek_6,54.55284960834937
73,Erkek,31-40,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,328094.10624785605,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,25355.45172025777,20.077724104693704,Etmiyor,obek_4,107.96335463438032
74,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,232638.54143656322,Küçük Şehir,Giyim,9251.432654280521,46.892158762243135,Ediyor,obek_8,143.73387968680524
75,Erkek,51-60,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,193817.01024766,Köy veya Kasaba,Giyim,6138.516709135321,6.115329746926115,Etmiyor,obek_1,9.66471364522308
76,Erkek,41-50,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,194921.62434290262,Küçük Şehir,Giyim,4902.2744105230595,1.5757117083152066,Etmiyor,obek_1,8.514036074085977
77,Kadın,18-30,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,174563.23668755655,Kırsal,Giyim,3847.973123841713,20.764440462044455,Etmiyor,obek_2,39.41060904783238
78,Kadın,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,214590.75496501502,Büyük Şehir,Ev ve Mobilya,9746.577690787663,54.56804562616428,Ediyor,obek_8,108.99878372674705
79,Erkek,31-40,Bekar,Yüksek Lisans Mezunu,Emekli,480370.3902076179,Köy veya Kasaba,Giyim,33848.682348687544,31.62447435566135,Etmiyor,obek_6,55.62757629675521
80,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,220204.0202789179,Küçük Şehir,Elektronik ve Teknolojik Ürünler,3820.1707354689447,10.452878474115218,Etmiyor,obek_5,97.09866358912002
81,Kadın,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,339620.1164982956,Büyük Şehir,Giyim,27522.36931076303,20.746072178360098,Etmiyor,obek_7,101.58157705314127
82,Kadın,>60,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,201897.2729635989,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4233.3591674885465,10.664512019432419,Etmiyor,obek_2,48.035162860230756
83,Erkek,31-40,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,243418.81369277413,Küçük Şehir,Giyim,4902.549090923903,6.9917753710332615,Etmiyor,obek_1,11.691250809328952
84,Kadın,31-40,Bekar,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,1008028.4192884252,Büyük Şehir,Giyim,30477.858093979852,33.76195537453188,Etmiyor,obek_4,108.32394489840681
85,Kadın,31-40,Bekar,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,785522.5502571084,Büyük Şehir,Spor Malzemeleri,35006.11714789084,35.05172628786041,Etmiyor,obek_4,95.50858860582277
86,Kadın,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,1039516.2274545147,Büyük Şehir,Spor Malzemeleri,31163.698298058665,39.27546932921813,Etmiyor,obek_4,77.63075279832101
87,Erkek,>60,Evli,Yüksek Lisans Mezunu,Kendi İşinin Sahibi,162938.63102667566,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,6528.380971634753,15.31150169576194,Etmiyor,obek_6,17.706125670958503
88,Kadın,51-60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,206839.14547114345,Kırsal,Kozmetik,6040.892412289152,5.8205729721765405,Etmiyor,obek_1,7.634565529987814
89,Kadın,31-40,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,137573.65414146232,Küçük Şehir,Kozmetik,4565.661522515675,5.885441945211355,Etmiyor,obek_1,10.812816848472883
90,Kadın,18-30,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,141036.60777447704,Köy veya Kasaba,Kozmetik,5484.009198557308,4.27013897326056,Etmiyor,obek_1,12.162028285585745
91,Erkek,>60,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,301203.6865420756,Küçük Şehir,Spor Malzemeleri,5746.345471355257,13.427401702397727,Etmiyor,obek_3,21.623182571274988
92,Kadın,31-40,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,223492.3254392787,Köy veya Kasaba,Kozmetik,5824.272038235485,7.533954432217515,Etmiyor,obek_1,8.61905993478519
93,Kadın,18-30,Evli,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,365935.29064791667,Büyük Şehir,Kozmetik,27248.772866035782,17.457074275345455,Etmiyor,obek_1,107.0246693527436
94,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,266218.6907997727,Köy veya Kasaba,Kozmetik,9236.247952626314,54.26349987130912,Ediyor,obek_8,133.35762321297452
95,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,228854.03980987376,Köy veya Kasaba,Spor Malzemeleri,4476.550853162815,10.904972870032454,Etmiyor,obek_5,105.65424547295095
96,Kadın,41-50,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,148414.21177923266,Köy veya Kasaba,Ev ve Mobilya,3550.1335408540317,24.56834110918598,Etmiyor,obek_2,67.26980643634356
97,Erkek,>60,Evli,Üniversite Mezunu,Emekli,479798.9965365963,Köy veya Kasaba,Spor Malzemeleri,45001.48934958276,29.872993125049877,Etmiyor,obek_6,45.47382682495325
98,Erkek,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,302856.33503993414,Köy veya Kasaba,Spor Malzemeleri,6091.677010509118,12.952059334195853,Etmiyor,obek_3,18.74526640377692
99,Kadın,31-40,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,190912.7388114129,Küçük Şehir,Elektronik ve Teknolojik Ürünler,3879.4499338423884,16.341753212320082,Etmiyor,obek_2,51.80313958699237
100,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,335065.0423848489,Küçük Şehir,Giyim,30233.39731454088,22.29297218677706,Etmiyor,obek_7,121.37317741844006
101,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,235386.73481741166,Büyük Şehir,Giyim,3879.8221240582247,11.077759643151943,Etmiyor,obek_5,95.04848545595925
102,Erkek,31-40,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,342996.4997694039,Büyük Şehir,Ev ve Mobilya,26217.675258995685,19.86578235513309,Etmiyor,obek_7,109.93520128059583
103,Kadın,18-30,Evli,Doktora Mezunu,İşsiz veya Düzenli Bir İşi Yok,162882.70844717824,Küçük Şehir,Giyim,3848.967962129323,16.63640468561224,Etmiyor,obek_2,45.095293011061095
104,Kadın,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,211765.40288276333,Büyük Şehir,Giyim,9655.577051299484,50.20533019744209,Ediyor,obek_8,191.48586039073422
105,Erkek,18-30,Bekar,Yüksekokul Mezunu,Kendi İşinin Sahibi,1021491.9159578002,Büyük Şehir,Kozmetik,31568.0346926143,37.709250374064666,Etmiyor,obek_4,106.38862958487513
106,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,857216.3281448006,Kırsal,Elektronik ve Teknolojik Ürünler,33568.754773483066,43.83343053774559,Etmiyor,obek_4,111.61118756841998
107,Kadın,41-50,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,343369.4737050812,Büyük Şehir,Elektronik ve Teknolojik Ürünler,27685.023756201706,21.662625925659903,Ediyor,obek_7,100.34003242083675
108,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,256098.1748413771,Köy veya Kasaba,Giyim,4003.1447730913883,9.636893265466808,Etmiyor,obek_5,95.90293689211757
109,Kadın,31-40,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,273655.162841688,Küçük Şehir,Kozmetik,6204.042155251046,5.681713832679896,Ediyor,obek_1,8.758410661761548
110,Erkek,31-40,Bekar,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,734559.8541716996,Büyük Şehir,Spor Malzemeleri,31280.275353913978,40.73419913524896,Etmiyor,obek_4,111.05996358788339
111,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,197892.40702987832,Küçük Şehir,Giyim,4121.029260795852,7.390980888691805,Etmiyor,obek_5,96.2725637477584
112,Erkek,41-50,Evli,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,378580.8556850824,Büyük Şehir,Ev ve Mobilya,6302.345478903107,14.701769741259376,Etmiyor,obek_3,21.49362555997103
113,Kadın,18-30,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,752025.500774477,Büyük Şehir,Giyim,34971.84053271514,40.06312065954551,Etmiyor,obek_4,104.97862271229333
114,Erkek,51-60,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,158768.38968446388,Kırsal,Giyim,5959.836514152984,6.9044502742730085,Etmiyor,obek_1,9.350818985609026
115,Erkek,51-60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,256961.66214282252,Küçük Şehir,Elektronik ve Teknolojik Ürünler,6954.900601756874,12.328917949043372,Etmiyor,obek_3,17.522901259659882
116,Erkek,41-50,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,333592.68355265446,Büyük Şehir,Giyim,24478.753983177397,21.25640997986575,Etmiyor,obek_7,91.06767120622709
117,Erkek,51-60,Evli,Doktora Ötesi,Düzenli ve Ücretli Bir İşi Var,472283.55669354147,Köy veya Kasaba,Ev ve Mobilya,37273.75337795829,30.85968675996504,Etmiyor,obek_6,47.62469359928152
118,Erkek,51-60,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,188472.8642268283,Büyük Şehir,Elektronik ve Teknolojik Ürünler,6387.596672627723,17.714871475743305,Etmiyor,obek_3,18.15064411418192
119,Kadın,51-60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,495092.94702240254,Kırsal,Spor Malzemeleri,35691.29146304041,30.820738600756854,Etmiyor,obek_6,47.36983826073077
120,Kadın,41-50,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,196882.80391696419,Büyük Şehir,Giyim,4585.204208721576,16.646464996440507,Etmiyor,obek_6,49.62808705420561
121,Erkek,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,168032.0226931297,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,3857.980039688193,8.995255912303458,Ediyor,obek_5,103.71187807844521
122,Erkek,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,219099.04450018512,Büyük Şehir,Giyim,9391.01995209034,41.75620767692293,Ediyor,obek_8,163.36748930104525
123,Erkek,31-40,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,200468.9826795458,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,4143.836680490946,11.072477087440062,Etmiyor,obek_5,85.97946796045854
